年月日,平均気温,平均湿度,天気概況
2021/2/26,8.7,43,曇
2013/3/29,16,75,曇
2009/2/8,7.4,33,晴
2012/3/4,5.5,64,曇
2011/8/21,20.6,86,雨
2019/3/6,10.8,82,曇
2016/12/6,10.8,59,晴
2008/5/31,13.5,85,雨
2001/10/3,22.9,39,晴
2006/1/26,6,29,晴
2009/11/11,17.3,87,雨
2015/4/7,10,91,雨
2007/11/13,16.7,50,晴
2005/10/1,22.5,61,晴
2016/1/4,9.2,60,晴
2019/9/5,25.7,81,曇
2002/11/22,8.9,51,曇
2001/7/10,26.8,58,晴
2007/2/14,10,77,雨
2002/9/16,19.1,82,雨
2019/1/21,5.8,39,晴
2012/6/20,26.9,69,曇
2013/2/18,5.2,53,雨
2000/10/22,19.3,61,曇
2015/2/10,3.2,49,晴
2019/7/3,24.9,86,曇
2005/9/21,24,65,曇
2007/8/6,29,64,晴
2019/4/29,14.8,64,曇
2003/6/12,21.4,87,雨
2003/3/7,5.5,86,雨
2003/1/17,7,41,晴
2004/9/11,23.6,63,曇
2007/8/18,25.5,71,曇
2006/3/10,8,68,雨
2013/1/2,10,41,晴
2001/12/24,7.5,40,晴
2008/5/12,12.5,61,曇
2011/1/10,3.4,27,晴
2021/4/30,18.8,64,晴
2001/6/21,19.3,81,雨
2015/1/9,6.7,31,晴
2003/9/8,23.9,72,曇
2014/6/11,22.2,88,雨
2005/5/5,19.3,49,晴
2005/4/17,16.3,50,晴
2004/3/22,6.1,71,雨
2001/5/13,20.7,56,晴
2017/10/26,14.4,74,晴
2007/7/24,26.6,60,晴
2008/9/27,20.1,37,曇
2009/7/11,25.3,53,曇
2015/2/14,4.9,29,晴
2006/2/17,7,48,曇
2005/8/25,24.6,84,雨
2017/5/14,17.8,79,曇
2001/10/2,23,54,晴
2001/8/13,25.8,77,曇
2005/10/19,17.8,67,曇
2014/1/11,4.3,46,晴
2001/8/29,26.1,74,曇
2001/8/2,26.1,71,曇
2002/1/24,7,32,晴
2016/10/3,22.7,94,雨
2012/12/25,4.5,51,晴
2013/3/11,7.9,25,晴
2013/6/30,24.2,73,曇
2004/7/19,30.6,47,曇
2005/11/11,13.4,61,曇
2006/5/7,18.8,74,雨
2003/4/28,18.3,57,晴
2015/7/7,21.3,91,雨
2005/11/5,17.4,56,晴
2008/7/9,24.3,68,曇
2005/11/14,12.9,68,曇
2021/2/21,13.9,56,晴
2014/4/18,11.8,78,雨
2008/12/3,12.3,56,晴
2018/5/15,22.3,57,晴
2020/7/23,23.2,99,雨
2011/5/19,20.9,53,晴
2000/2/7,9.4,42,晴
2006/2/26,7.5,80,雨
2004/7/5,27.2,76,曇
2001/6/16,18.8,79,曇
2020/2/9,3.9,37,晴
2006/2/27,8.6,42,曇
2005/5/1,20,67,曇
2005/10/22,17.2,79,雨
2004/11/8,16.8,60,曇
2000/3/10,5.5,26,晴
2003/7/26,22.5,69,曇
2005/5/11,13.8,50,曇
2010/3/11,8.6,41,晴
2020/3/19,14.6,65,晴
2012/11/26,8.8,72,雨
2021/3/23,10.8,46,晴
2014/11/15,12.7,42,晴
2020/11/8,17.3,75,曇
2012/1/26,3.2,40,晴
2006/7/19,21.1,84,雨
2000/11/21,17.4,66,曇
2021/5/12,17.9,56,曇
2001/1/2,8.3,41,晴
2020/1/25,7.8,47,曇
2012/1/23,5,77,雨
2010/1/10,7,36,晴
2013/6/28,22.4,72,曇
2012/9/23,20.3,89,雨
2019/1/4,5.1,59,晴
2002/12/1,10.1,73,雨
2009/7/22,24.1,83,雨
2021/4/21,19.1,35,晴
2001/5/27,19.9,79,雨
2021/4/16,13.7,64,曇
2002/9/10,24.1,74,曇
2007/1/10,7.4,37,晴
2020/4/4,15.7,62,晴
2013/7/31,27.4,77,曇
2020/7/30,23.2,84,曇
2010/9/30,19.2,79,雨
2013/1/5,2.8,44,曇
2011/1/20,5.4,31,晴
2013/7/22,26.5,77,曇
2004/12/9,10.6,59,曇
2000/6/12,17.7,84,雨
2017/4/14,15,51,晴
2001/12/31,6,37,晴
2019/11/26,8.8,81,雨
2013/6/10,23.6,69,曇
2017/9/20,23.3,74,曇
2003/12/14,9.9,39,晴
2013/1/30,8.1,36,晴
2007/7/10,23.3,77,雨
2008/6/28,23.4,70,曇
2017/10/25,12.8,88,雨
2015/9/17,17.9,98,雨
2014/9/25,24.4,78,雨
2003/4/11,12.8,54,曇
2001/1/16,3,31,晴
2020/3/24,8.2,44,晴
2012/3/21,8.1,27,晴
2019/6/7,21,94,雨
2012/6/9,19,90,雨
2004/3/28,12.5,45,晴
2017/3/9,7.5,44,晴
2021/6/2,22,70,曇
2010/4/23,8.2,82,雨
2001/12/26,8.4,37,晴
2016/7/22,21.4,86,雨
2004/10/2,24,62,晴
2006/7/24,24,86,雨
2008/10/8,19,83,雨
2003/6/17,23.4,81,雨
2000/3/16,7.4,77,雨
2017/9/27,23.7,77,曇
2016/5/20,17.2,63,曇
2005/10/10,17.6,86,雨
2018/12/30,4.8,37,晴
2006/9/22,22.7,62,曇
2020/5/18,19.2,91,雨
2011/6/1,15.2,57,曇
2017/7/3,28.3,75,曇
2019/3/7,8.2,97,雨
2008/3/20,9.2,80,雨
2002/10/8,21.1,66,雨
2006/3/9,8.9,43,曇
2015/2/6,5.4,60,晴
2004/6/5,23,57,晴
2000/6/9,23.3,81,雨
2002/11/20,11,55,曇
2016/7/28,26.5,78,曇
2000/10/29,12.5,88,雨
2018/8/8,23.6,95,雨
2021/6/27,23.7,78,曇
2010/11/17,8.8,72,雨
2011/2/1,5.9,30,晴
2004/6/4,22.3,38,晴
2007/7/9,23.7,63,曇
2011/4/5,10.1,28,晴
2004/8/17,27,75,曇
2012/1/19,6.2,50,曇
2009/12/6,11.2,66,晴
2007/2/3,7.3,31,晴
2013/12/5,11.6,59,晴
2009/6/15,20.8,73,曇
2012/12/30,7.2,90,雨
2012/5/21,20.2,63,曇
2006/11/9,16.3,56,晴
2011/12/22,5.8,57,曇
2009/9/20,22.4,48,晴
2010/2/20,7,43,晴
2008/6/27,21.6,68,曇
2012/11/5,13.5,63,曇
2015/10/19,19,70,晴
2002/5/8,18.4,78,曇
2008/2/1,5,29,晴
2002/11/19,10.9,38,曇
2020/11/10,11.9,50,晴
2020/10/28,16.6,73,曇
2013/7/30,27.8,78,曇
2005/8/28,25.1,64,曇
2001/7/12,30.8,58,晴
2020/5/16,18.5,89,雨
2013/3/5,8.4,57,晴
2017/6/21,22.4,90,雨
2017/10/13,15.9,92,雨
2020/10/9,14.5,99,雨
2007/10/3,21,70,曇
2002/8/9,30.6,58,晴
2018/9/12,21,70,曇
2016/12/24,8.6,46,晴
2006/7/6,24.7,75,曇
2020/4/1,11.4,97,雨
2016/1/9,7.3,53,晴
2000/3/27,9.5,38,晴
2016/10/13,16.5,67,曇
2020/7/15,20.4,97,雨
2013/1/4,3.2,31,晴
2002/11/17,10.3,54,曇
2019/8/28,25.6,91,雨
2006/8/26,25.2,71,曇
2001/10/20,16.2,52,晴
2007/12/11,10,55,曇
2002/10/16,21.2,54,晴
2018/2/7,3.4,34,晴
2017/10/14,14.6,98,雨
2007/4/23,15,72,曇
2006/1/28,5.5,32,晴
